title,country,date_added,platform,startYear,averageRating,numVotes,media,Action,Comedy,Drama,Horror,Romance,Sci.Fi,Thriller,budget,revenue
The Man Who Invented Christmas,NA,"November 12, 2020",hulu,2017,7,16157,Movie,0,1,1,0,0,0,0,11161397.837695954,20286665.87082959
Stan Against Evil,United States,"February 20, 2019",hulu,2016,7.2,5891,TV Show,0,1,0,1,0,0,0,NA,NA
More Than Friends,NA,"July 3, 2021",hulu,2020,6.7,450,TV Show,0,0,1,0,1,0,0,NA,NA
68 Kill,United States,"July 1, 2021",hulu,2017,6,6015,Movie,0,1,0,0,0,0,1,9528005.281150242,14693722.204913069
Pilgrimage,Ireland,"December 30, 2020",hulu,2017,5.9,5810,Movie,1,0,1,0,0,0,0,13986589.15060054,22418460.15847404
Band Aid,United States,"July 1, 2021",hulu,2017,6.6,5756,Movie,0,1,1,0,0,0,0,9376800.327327013,16929174.41309195
Fear of Rain,NA,"July 2, 2021",hulu,2021,5.9,7893,Movie,0,0,1,1,0,0,1,8783154.363220457,12097185.667689668
Bedlam,United Kingdom,"September 24, 2013",hulu,2011,6.4,2354,TV Show,0,0,1,1,0,0,0,NA,NA
Blindspotting,NA,"June 13, 2021",hulu,2021,6.4,1270,TV Show,0,1,1,0,0,0,0,NA,NA
Factotum,NA,"July 1, 2021",hulu,2005,6.6,14591,Movie,0,1,1,0,1,0,0,9760870.790928418,19003962.443176664
Shaun the Sheep Movie,NA,"September 1, 2021",hulu,2015,7.3,40928,Movie,0,1,0,0,0,0,0,43376931.723501965,59700000
The Vatican Tapes,United States,"August 1, 2021",hulu,2015,4.8,19816,Movie,0,0,0,1,0,0,1,13000000,1784763
HouseBroken,NA,"June 1, 2021",hulu,2021,6.2,1272,TV Show,0,1,0,0,0,0,0,NA,NA
KD (A) Karuppudurai,India,"January 21, 2020",netflix,2019,8.4,1821,Movie,0,0,1,0,0,0,0,12084487.795683028,51053901.80711309
The Blackcoat's Daughter,Canada,"May 18, 2019",netflix,2015,5.9,22530,Movie,0,0,0,1,0,0,1,10408905.614686579,19980
Stuart Little 2,United States,"January 1, 2020",netflix,2002,5.5,54680,Movie,0,1,0,0,0,0,0,120000000,169956806
The Kissing Booth,United Kingdom,"May 11, 2018",netflix,2018,5.9,84221,Movie,0,1,0,0,1,0,0,27333741.150685683,53503099.85510833
My Stupid Boss,Indonesia,"April 23, 2020",netflix,2016,7.1,1583,Movie,0,1,0,0,0,0,0,6742145.109477116,16971591.315187242
Love You... Love You Not,Indonesia,"January 5, 2019",netflix,2015,5.6,67,Movie,0,1,1,0,1,0,0,6525172.635569508,8926116.8011111
Dante's Peak,United States,"September 1, 2019",netflix,1997,6,91259,Movie,1,0,0,0,0,0,1,116000000,178127760
Stonehearst Asylum,United States,"September 8, 2017",netflix,2014,6.8,57009,Movie,0,0,1,1,0,0,0,15204491.825925393,20931663.003131542
Rango,United States,"December 28, 2020",netflix,2011,7.2,264839,Movie,1,0,0,0,0,0,0,135000000,245724603
Kid Kulafu,Philippines,"March 4, 2019",netflix,2015,6.9,440,Movie,0,0,1,0,0,0,0,11152771.164393311,19601760.370746452
Internet Famous,United States,"July 21, 2016",netflix,2016,3.5,1186,Movie,0,1,0,0,0,0,0,9088469.654858986,19214518.074508004
Dear Ex,Taiwan,"February 1, 2019",netflix,2018,7.3,6445,Movie,0,1,1,0,1,0,0,6291664.034669991,15269839.492117945
Love in a Puff,Hong Kong,"September 1, 2021",netflix,2010,7.1,2674,Movie,0,1,1,0,1,0,0,5924215.29847556,18486706.318444375
Bobby Kennedy for President,NA,"April 27, 2018",netflix,2018,8.1,1849,TV Show,0,0,1,0,0,0,0,NA,NA
Paskal,Malaysia,"March 15, 2019",netflix,2018,6.5,3086,Movie,1,0,1,0,0,0,0,23675053.918087658,58398404.50629726
Boys Over Flowers,South Korea,"May 16, 2020",netflix,2009,7.8,12208,TV Show,0,1,1,0,1,0,0,NA,NA
Agatha and the Truth of Murder,United Kingdom,"January 31, 2019",netflix,2018,6.3,5034,Movie,0,0,1,0,0,0,0,9642871.149717508,11818278.545975227
Omar & Salma 2,Egypt,"May 19, 2020",netflix,2009,4.8,861,Movie,0,1,1,0,0,0,0,8318748.6497738715,12761592.42433673
The Time Traveler's Wife,United States,"October 1, 2019",netflix,2009,7.1,151612,Movie,0,1,1,0,0,0,0,39000000,101229792
Chocolate,South Korea,"November 30, 2019",netflix,2019,7.6,1257,TV Show,0,0,1,0,1,0,0,NA,NA
Chance Pe Dance,India,"November 1, 2018",netflix,2010,4.8,3008,Movie,0,1,1,0,0,0,0,12071321.145354068,19027679.722457714
The 8th Night,South Korea,"July 2, 2021",netflix,2021,5.3,3494,Movie,0,0,0,1,0,0,1,7560279.152550143,14141286.531620208
Dharmakshetra,India,"September 15, 2021",netflix,2014,8.4,317,TV Show,0,0,1,0,0,0,0,NA,NA
Just Another Love Story,Denmark,"May 5, 2009",netflix,2007,7.2,4878,Movie,0,0,1,0,0,0,1,6906140.8818888385,17704526.2403581
Misfit,Netherlands,"August 3, 2019",netflix,2017,4.3,424,Movie,0,1,0,0,0,0,0,12747843.817762326,30693702.473027155
Star Trek,United States,"July 1, 2021",netflix,2009,7.9,602853,Movie,1,0,0,0,0,1,0,150000000,385680446
Barakah Meets Barakah,Saudi Arabia,"October 12, 2017",netflix,2016,6.3,1746,Movie,0,1,0,0,1,0,0,7865993.212459336,12468225.074676717
Gilmore Girls: A Year in the Life,United States,"November 25, 2016",netflix,2016,7.6,38657,TV Show,0,1,1,0,0,0,0,NA,NA
Our Idiot Brother,United States,"February 26, 2021",netflix,2011,6.4,88088,Movie,0,1,1,0,0,0,0,10000000,17273593
Mandela,India,"April 5, 2021",netflix,2021,8.4,7105,Movie,0,1,1,0,0,0,0,12892442.84434194,55641073.67195739
Handsome Devil,Ireland,"August 1, 2017",netflix,2016,7,14685,Movie,0,1,1,0,0,0,0,1050000,22499029.55931272
The K2,South Korea,"October 1, 2019",netflix,2016,7.8,6641,TV Show,0,0,1,0,1,0,1,NA,NA
Khoobsurat,India,"October 1, 2018",netflix,2014,6.4,8583,Movie,0,1,0,0,1,0,0,9048000.232500086,13836791.413174262
Spirit Riding Free: Riding Academy,United States,"September 4, 2020",netflix,2020,7.3,111,TV Show,1,0,0,0,0,0,0,NA,NA
Holy Goalie,Spain,"April 27, 2018",netflix,2017,5.3,1693,Movie,0,1,0,0,0,0,0,8260887.181250263,13966601.32230208
Berlin Calling,Germany,"January 15, 2017",netflix,2008,7.2,14664,Movie,0,1,1,0,0,0,0,7247053.00794687,21036009.105307166
On Body and Soul,Hungary,"February 2, 2018",netflix,2017,7.5,27847,Movie,0,0,1,0,0,0,0,10214570.078200776,21712978.550999776
Slay,South Africa,"August 8, 2021",netflix,2021,3.4,104,Movie,0,1,0,0,0,0,0,9748164.10133283,22648290.40563765
Watership Down,United Kingdom,"December 23, 2018",netflix,2018,7.2,6270,TV Show,1,0,0,0,0,0,0,NA,NA
Maniyarayile Ashokan,India,"August 31, 2020",netflix,2020,4.7,1286,Movie,0,1,0,0,1,0,0,9530905.57386229,17266689.488565158
Jai Mummy Di,India,"March 14, 2020",netflix,2020,3.7,978,Movie,0,1,1,0,1,0,0,11993473.099191656,25352422.565865014
Fear and Loathing in Las Vegas,United States,"November 1, 2019",netflix,1998,7.5,282247,Movie,0,1,1,0,0,0,0,18500000,10680275
Rocky II,United States,"August 1, 2019",netflix,1979,7.3,209435,Movie,0,0,1,0,0,0,0,7000000,200182160
Love Me or Leave Me,Taiwan,"November 1, 2016",netflix,2012,6.3,27,TV Show,0,0,0,0,1,0,0,NA,NA
ATM,United States,"September 5, 2018",netflix,2012,4.7,24040,Movie,0,0,0,1,0,0,1,3000000,3010
Whisky,Uruguay,"January 22, 2020",netflix,2004,7.1,6363,Movie,0,1,1,0,0,0,0,6017736.6051308485,16379648.67262732
From A to B,United Arab Emirates,"June 11, 2020",netflix,2014,5.8,1326,Movie,0,1,1,0,0,0,0,14999359.527803523,40028525.012621194
The Old Guard,United States,"July 10, 2020",netflix,2020,6.6,163493,Movie,1,0,0,0,0,0,1,49278160.159309566,113712804.4695831
Bhagam Bhag,India,"December 31, 2019",netflix,2006,6.5,13516,Movie,0,1,1,0,0,0,0,14857207.664148884,22866734.168920547
Holding the Man,Australia,"August 1, 2016",netflix,2015,7.4,12600,Movie,0,0,1,0,1,0,0,10588736.693507431,17946877.53923053
Thong Dee Fun Khao,Thailand,"January 15, 2018",netflix,2017,5.5,253,Movie,1,0,0,0,0,0,0,11113266.728006333,31152663.07105276
Verses of Love,Indonesia,"March 27, 2019",netflix,2008,6.9,1179,Movie,0,0,1,0,1,0,0,5584902.423601086,12959161.371716026
The Last Exorcism,France,"September 1, 2019",netflix,2010,5.7,50138,Movie,0,0,0,1,0,0,1,1800000,67738090
The Book of Eli,United States,"July 1, 2019",netflix,2010,6.8,318115,Movie,1,0,1,0,0,0,0,80000000,157107755
The Square,United Kingdom,"January 17, 2014",netflix,2013,8,9082,Movie,0,0,1,0,0,0,0,10529210.221580757,28872350.176953267
Brick,United States,"September 1, 2018",netflix,2005,7.2,106269,Movie,0,0,1,0,0,0,0,475000,3919254
Anjaan: Rural Myths,India,"December 15, 2018",netflix,2018,5.7,108,TV Show,0,0,0,1,0,0,0,NA,NA
Article 15,India,"September 6, 2019",netflix,2019,8.1,33753,Movie,0,0,1,0,0,0,0,15691075.030102039,45404069.596579134
American Psycho,United States,"September 1, 2019",netflix,2000,7.6,601674,Movie,0,0,1,1,0,0,0,7000000,34266564
Crazy About Her,Spain,"February 26, 2021",netflix,2021,6.6,5863,Movie,0,1,0,0,1,0,0,9397807.219522404,18326318.890055444
Desolate,NA,"February 6, 2020",netflix,2018,5.1,472,Movie,0,0,1,0,0,0,0,6728461.669119394,6555027.45786306
The Underclass,Thailand,"April 14, 2021",netflix,2020,6.7,68,TV Show,0,0,1,0,0,0,0,NA,NA
To the Bone,United States,"July 14, 2017",netflix,2017,6.8,49702,Movie,0,0,1,0,0,0,0,12308705.661068022,13567234.168524578
Sur: The Melody of Life,India,"February 15, 2019",netflix,2002,6.5,543,Movie,0,0,1,0,1,0,0,14024582.343860805,30915552.193046376
Rembat,Malaysia,"August 21, 2017",netflix,2015,5.2,22,Movie,0,1,0,0,0,0,0,6594067.413068243,10853929.072243595
Code 8,Canada,"April 11, 2020",netflix,2019,6.1,40212,Movie,1,0,1,0,0,0,0,18657383.50191782,35393006.03204119
The Body Remembers When the World Broke Open,Canada,"November 27, 2019",netflix,2019,6.9,776,Movie,0,0,1,0,0,0,0,6289239.408664074,6918818.428370872
Wormwood,United States,"December 15, 2017",netflix,2017,7,4328,TV Show,0,0,1,0,0,0,0,NA,NA
The Last Laugh,United States,"January 11, 2019",netflix,2019,5.6,6195,Movie,0,1,0,0,0,0,0,10329943.895305386,15011295.8098901
Gook,United States,"March 6, 2018",netflix,2017,7,2616,Movie,0,0,1,0,0,0,0,6599888.74107056,9293259.714430703
Followers,Japan,"February 27, 2020",netflix,2020,6.4,578,TV Show,0,0,1,0,1,0,0,NA,NA
Andhadhun,India,"December 16, 2018",netflix,2018,8.2,92562,Movie,0,1,0,0,0,0,0,20238527.158846434,60447292.737854555
Nobody Sleeps in the Woods Tonight,Poland,"October 28, 2020",netflix,2020,4.9,11989,Movie,0,0,0,1,0,0,0,9738729.583837753,26707843.2573308
Paul Blart: Mall Cop,United States,"November 1, 2020",netflix,2009,5.2,110931,Movie,1,1,0,0,0,0,0,26000000,183293131
Game Over,Egypt,"May 19, 2020",netflix,2012,3.1,168,Movie,0,1,1,0,1,0,0,12334075.981223587,32894370.009541605
National Treasure,United States,"June 1, 2018",netflix,2004,6.9,332217,Movie,1,0,0,0,0,0,0,100000000,347451894
Kung Fu Panda,United States,"July 1, 2021",netflix,2008,7.6,466994,Movie,1,0,0,0,0,0,0,130000000,631744560
Midnight Special,United States,"September 7, 2020",netflix,2016,6.6,81028,Movie,0,0,1,0,0,1,0,18000000,6212282
Frequency,United States,"September 4, 2017",netflix,2016,7.5,13875,TV Show,0,0,1,0,0,0,0,NA,NA
VS.,United Kingdom,"June 19, 2019",netflix,2018,5.9,491,Movie,0,0,1,0,0,0,0,8645665.294543616,9885938.47817688
Beyblade: Metal Fusion,Japan,"December 15, 2017",netflix,2009,6.3,1831,TV Show,1,0,0,0,0,0,0,NA,NA
"Faith, Hope & Love",United States,"February 4, 2020",netflix,2019,6.3,1075,Movie,0,1,0,0,1,0,0,8967215.373716729,16508263.300921535
Only,United States,"July 5, 2020",netflix,2019,5.1,3593,Movie,0,0,1,0,1,1,0,13039097.3072771,17793829.579478003
Godzilla Singular Point,NA,"June 24, 2021",netflix,2021,6.5,1734,TV Show,1,0,0,0,0,0,0,NA,NA
The Trap,United States,"April 1, 2019",netflix,2017,8.1,36,Movie,0,0,1,1,0,0,0,10782052.928812206,39553095.92284338
Drink Drank Drunk,Hong Kong,"August 24, 2019",netflix,2016,4.3,22,Movie,0,1,0,0,0,0,0,8352146.460579383,15081087.745299187
Bon Bini Holland,Netherlands,"September 1, 2016",netflix,2015,5.4,1353,Movie,0,1,0,0,0,0,0,6334045.17641853,9878870.886245215
Midnight at the Magnolia,Canada,"November 5, 2020",netflix,2020,5.8,5436,Movie,0,1,0,0,1,0,0,10115269.04542531,16532802.944127083
Sym-Bionic Titan,United States,"December 15, 2019",netflix,2010,8.1,2803,TV Show,1,0,0,0,0,0,0,NA,NA
Equals,United States,"October 28, 2018",netflix,2015,6,30878,Movie,0,0,1,0,1,1,0,16000000,2084628
Billy Elliot,United Kingdom,"February 1, 2019",netflix,2000,7.7,135207,Movie,0,0,1,0,0,0,0,5000000,110000000
Dear Santa,Canada,"November 4, 2019",netflix,2011,6.4,2819,Movie,0,0,1,0,0,0,0,7022118.610480573,9301021.3648509
Beyond Evil,NA,"June 15, 2021",netflix,2021,8.1,3353,TV Show,0,0,1,0,0,0,1,NA,NA
Maska,India,"March 27, 2020",netflix,2020,5.9,1469,Movie,0,1,1,0,1,0,0,8524827.657613,8851284.399614193
Even the Rain,Spain,"May 17, 2011",netflix,2010,7.4,13631,Movie,0,0,1,0,0,0,0,10600000,19676139.39520198
The Game,United States,"July 1, 2021",netflix,1997,7.7,394282,Movie,0,0,1,0,0,0,1,50000000,109423648
Blind Detective,Hong Kong,"December 1, 2018",netflix,2013,6.4,3352,Movie,1,1,0,0,0,0,0,10059274.859103546,22964175.830623854
Bobbi Jene,Denmark,"June 1, 2018",netflix,2017,6.2,465,Movie,0,0,1,0,1,0,0,5687120.816392537,5849214.617786728
Richie Rich,United States,"July 6, 2021",netflix,2015,3.1,1105,TV Show,0,1,0,0,0,0,0,NA,NA
Baaghi,India,"August 4, 2018",netflix,2016,5.3,9207,Movie,1,0,0,0,1,0,1,14893355.891160063,38608479.04565832
Beckett,Italy,"August 13, 2021",netflix,2021,5.6,26216,Movie,1,0,1,0,0,0,0,14959192.81815858,19846850.16038903
Miracle,Canada,"June 1, 2018",netflix,2004,7.4,54890,Movie,0,0,1,0,0,0,0,28000000,64445708
Operation Red Sea,China,"November 27, 2018",netflix,2018,6.6,7273,Movie,1,0,1,0,0,0,1,11779651.710118657,25807219.06053705
Pari,Pakistan,"January 15, 2019",netflix,2018,6.6,6553,Movie,0,0,0,1,0,0,0,8642225.854950484,30660772.642227516
Lock,India,"October 1, 2018",netflix,2016,6.1,160,Movie,0,0,0,0,0,0,1,6393228.746567037,9875592.521978924
Esperando la carroza,Argentina,"August 5, 2021",netflix,1985,8,6505,Movie,0,1,0,0,0,0,0,6227369.048081375,31476523.49099067
Good People,United States,"September 8, 2017",netflix,2014,5.5,16596,Movie,1,0,0,0,0,0,1,14027641.086266411,29497282.33474996
Ben 10,United States,"September 30, 2018",netflix,2016,2.9,4926,TV Show,1,0,0,0,0,0,0,NA,NA
Post Mortem: No One Dies in Skarnes,NA,"August 25, 2021",netflix,2021,7.1,3452,TV Show,0,1,1,0,0,0,1,NA,NA
Medium,Poland,"October 1, 2019",netflix,1985,6.4,676,Movie,0,0,0,1,0,0,1,7072476.91435077,24471673.346456893
Blazing Transfer Students,Japan,"November 10, 2017",netflix,2017,6.9,123,TV Show,1,1,0,0,0,0,0,NA,NA
Wild Oats,Germany,"May 13, 2017",netflix,2016,5.7,4273,Movie,1,1,0,0,0,0,0,30861693.52489795,70479059.90477741
Over the Moon,China,"October 23, 2020",netflix,2020,6.3,22473,Movie,0,1,0,0,0,0,0,77803996.72783518,177237794.25054732
Doubt,United States,"March 7, 2019",netflix,2008,7.5,129842,Movie,0,0,1,0,0,0,0,20000000,50907234
Chennai Express,India,"August 5, 2021",netflix,2013,6,55042,Movie,1,1,0,0,1,0,0,18000000,62000000
Dilan 1991,Indonesia,"May 14, 2020",netflix,2019,6.5,1119,Movie,0,0,1,0,1,0,0,8130480.706937111,6269001.713632135
Sweet Girl,United States,"August 20, 2021",netflix,2021,5.5,31977,Movie,1,0,1,0,0,0,1,19448981.23496984,34440349.73092467
Murphy's Law of Love,Taiwan,"October 1, 2016",netflix,2015,7.3,270,TV Show,0,0,0,0,1,0,0,NA,NA
Rise of the Zombie,India,"December 15, 2017",netflix,2013,3.3,445,Movie,0,0,1,1,0,0,1,9717414.689485723,26138987.662628148
Time Out,India,"September 26, 2020",netflix,2015,6.1,427,Movie,0,0,1,0,0,0,0,9414027.210547628,20715141.818293627
Dare to Be Wild,Ireland,"April 1, 2018",netflix,2015,6.4,1557,Movie,0,0,1,0,1,0,0,7029716.227351316,12313823.498388657
Little Nicky,United States,"December 1, 2020",netflix,2000,5.3,106093,Movie,0,1,0,0,0,0,0,85000000,150169712.46458042
Manmadhudu 2,India,"September 23, 2019",netflix,2019,4.8,726,Movie,0,1,1,0,1,0,0,9069039.467089597,12531395.940355655
The Bye Bye Man,United States,"April 1, 2019",netflix,2017,4.3,24322,Movie,0,0,1,1,0,0,0,7400000,26667197
Viceroy's House,United Kingdom,"December 12, 2017",netflix,2017,6.7,8060,Movie,0,0,1,0,0,0,0,12776927.437192604,14456666.11299052
The Perfect Date,United States,"April 12, 2019",netflix,2019,5.8,39375,Movie,0,1,0,0,1,0,0,20800440.625202302,35711107.22903313
Brave New Jersey,United States,"December 15, 2017",netflix,2016,5.2,571,Movie,0,1,0,0,0,0,0,8719616.6277541,10294455.913030967
The House of Flowers: The Movie,NA,"June 23, 2021",netflix,2021,5.5,879,Movie,0,1,1,0,0,0,0,6844301.979719355,9589440.43859939
Maniac,United States,"September 21, 2018",netflix,2018,7.7,78375,TV Show,0,1,1,0,0,1,0,NA,NA
Amar,Spain,"July 15, 2017",netflix,2017,5.1,4598,Movie,0,0,1,0,1,0,0,9526139.993560107,5852764.010206392
Kidnapping Mr. Heineken,Netherlands,"September 8, 2017",netflix,2015,6.1,20957,Movie,1,0,1,0,0,0,0,12901930.79932945,2633527
Elevator Baby,Nigeria,"June 20, 2020",netflix,2019,6.6,98,Movie,0,1,1,0,0,0,0,6711677.924763368,9259314.808301015
Scream 3,United States,"July 1, 2019",netflix,2000,5.6,143435,Movie,0,0,0,1,0,0,0,40000000,161834276
Enemy,Canada,"July 15, 2018",netflix,2013,6.9,193570,Movie,0,0,1,0,0,0,1,17052025.25855383,3396726
Fairy Tail,Japan,"April 1, 2017",netflix,2009,7.9,24778,TV Show,1,0,0,0,0,0,0,NA,NA
G-Force,United States,"March 15, 2019",netflix,2009,5.1,46909,Movie,1,0,0,0,0,0,0,150000000,292817841
Love and Shukla,India,"September 1, 2018",netflix,2017,7.3,977,Movie,0,1,1,0,1,0,0,6055246.0494658565,15268350.09012775
Charlie and the Chocolate Factory,United Kingdom,"January 1, 2020",netflix,2005,6.7,477930,Movie,0,1,0,0,0,0,0,150000000,474968763
Good Kisser,United States,"August 20, 2020",netflix,2019,4.4,394,Movie,0,1,1,0,1,0,0,9973546.447878,17555208.604958545
Race to Witch Mountain,United States,"July 1, 2019",netflix,2009,5.7,60123,Movie,1,0,0,0,0,0,0,50000000,106303988
The Death of Mr. Lazarescu,Romania,"March 4, 2020",netflix,2005,7.8,15133,Movie,0,1,1,0,0,0,0,6678519.461375088,19312380.233521048
Blind Date,France,"October 15, 2016",netflix,2015,6.6,6829,Movie,0,1,0,0,1,0,0,7219764.947376886,14348364.08925143
The Prom,United States,"December 11, 2020",netflix,2020,5.9,27287,Movie,0,1,1,0,0,0,0,17501586.91539534,32089432.50209932
Spenser Confidential,United States,"March 6, 2020",netflix,2020,6.2,88237,Movie,1,1,1,0,0,0,0,33005935.992188618,61388411.5666697
Hello Brother,India,"January 4, 2021",netflix,1999,4.6,4312,Movie,1,1,0,0,0,0,0,15310292.782079292,28950865.962149296
Kill Bill: Vol. 1,United States,"January 1, 2020",netflix,2003,8.2,1105414,Movie,1,0,1,0,0,0,0,30000000,180949000
The Damned Rain,India,"January 1, 2018",netflix,2009,7.8,252,Movie,0,1,1,0,0,0,0,5246650.165163635,17313734.99670043
The Liberator,United States,"November 11, 2020",netflix,2020,7.6,6250,TV Show,1,0,1,0,0,0,0,NA,NA
Lingua Franca,United States,"August 26, 2020",netflix,2019,6.5,732,Movie,0,0,1,0,0,0,0,7434822.937334208,6398333.404191373
Salem: His Sister's Father,Egypt,"June 22, 2019",netflix,2014,3.6,106,Movie,0,1,1,0,0,0,0,7799605.974387692,21514803.867536787
Ahista Ahista,India,"December 31, 2019",netflix,2006,7,1590,Movie,0,0,1,0,1,0,0,5657842.029089963,13304196.202537088
Motor Mitraan Di,India,"October 1, 2018",netflix,2016,6.2,43,Movie,0,1,0,0,0,0,0,7673132.82468631,11102419.505299672
Man of Tai Chi,United States,"July 26, 2018",netflix,2013,6,39289,Movie,1,0,1,0,0,0,0,25000000,2054941
I Heart Arlo,NA,"August 27, 2021",netflix,2021,7,230,TV Show,0,1,0,0,0,0,0,NA,NA
All of You,Philippines,"January 11, 2019",netflix,2017,5.6,182,Movie,0,0,1,0,1,0,0,8287026.749049005,6014735.4583412055
Organize Isler,Turkey,"April 28, 2020",netflix,2005,7.4,33657,Movie,0,1,1,0,0,0,0,20000,22402697.89094792
The Stand at Paxton County,United States,"May 2, 2020",netflix,2020,6.4,1129,Movie,0,0,1,0,0,0,1,7838876.624181975,8510839.95636257
Don Verdean,United States,"March 1, 2020",netflix,2015,5.4,5401,Movie,0,1,1,0,0,0,0,7329422.927630214,31309
Kapoor & Sons,India,"April 1, 2020",netflix,2016,7.7,26582,Movie,0,1,1,0,0,0,0,19650755.790167402,45975573.63434525
Submission,United States,"November 11, 2019",netflix,2019,4.9,1320,Movie,0,0,1,0,0,0,0,9772862.026012786,20495054.223487146
The Mortified Guide,United States,"February 14, 2018",netflix,2018,7.8,290,TV Show,0,1,0,0,0,0,0,NA,NA
Kill the Irishman,United States,"August 21, 2020",netflix,2011,7,48838,Movie,0,0,1,0,0,0,0,12184443.56007097,1188194
The Danish Girl,United Kingdom,"December 16, 2019",netflix,2015,7.1,185659,Movie,0,0,1,0,1,0,0,15000000,64191523
The Match,Italy,"September 1, 2020",netflix,2020,5.8,653,Movie,0,0,1,0,0,0,0,12851561.059060333,21222501.97637574
Green Eggs and Ham,United Kingdom,"November 8, 2019",netflix,2019,8.1,2720,TV Show,0,1,0,0,0,0,0,NA,NA
3022,United States,"March 19, 2020",netflix,2019,4.5,5655,Movie,0,0,0,0,0,1,0,10912010.838852243,28450191.817024443
Habibie & Ainun,Indonesia,"January 28, 2019",netflix,2012,7.6,2146,Movie,0,0,1,0,1,0,0,9427262.948510088,17969349.940003958
Blue Ruin,United States,"February 25, 2019",netflix,2013,7.1,74167,Movie,0,0,1,0,0,0,1,12022701.112240274,258384
Unfriended,United States,"October 16, 2020",netflix,2014,5.6,76097,Movie,0,0,0,1,0,0,1,1000000,62882090
My Horrible Grandma,Egypt,"June 2, 2020",netflix,2012,5.3,763,Movie,0,1,1,0,0,0,0,6543218.869441001,12348953.901903901
The Con Is On,United States,"December 21, 2020",netflix,2018,4,9263,Movie,0,1,0,0,0,0,0,12420263.867906313,20332387.94298462
21,United States,"January 1, 2020",netflix,2008,6.8,251762,Movie,0,0,1,0,0,0,0,35000000,69823199
Nigerian Prince,United States,"August 14, 2020",netflix,2018,5.9,419,Movie,0,0,1,0,0,0,1,6823600.033329752,8623250.36885069
The Bonfire of Destiny,France,"December 26, 2019",netflix,2019,7.6,4772,TV Show,0,0,1,0,0,0,0,NA,NA
"Justice, My Foot!",Hong Kong,"August 31, 2018",netflix,1992,6.8,2844,Movie,1,1,0,0,0,0,0,11913901.70830996,28074819.160522
An Innocent Mistake,Taiwan,"January 1, 2017",netflix,2012,6.9,21,TV Show,0,0,1,0,0,0,0,NA,NA
Law School,South Korea,"April 14, 2021",netflix,2021,8,2310,TV Show,0,0,1,0,0,0,0,NA,NA
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,United States,"January 1, 2020",netflix,1991,6,56505,Movie,1,1,0,0,0,0,0,25000000,78000000
The Gospel of Luke,United States,"October 19, 2018",netflix,2015,6.9,458,Movie,0,0,1,0,0,0,0,4311754.765587578,5723058.150551277
First Match,United States,"March 30, 2018",netflix,2018,6.4,2318,Movie,0,0,1,0,0,0,0,11292906.039580675,21751210.26159115
Night Moves,United States,"June 30, 2019",netflix,2013,6,15830,Movie,0,0,1,0,0,0,1,11528405.207726683,12760710.312421972
The Lost Brother,Argentina,"September 1, 2017",netflix,2017,6.5,1748,Movie,0,0,1,0,0,0,1,6968657.763812351,9022999.210035704
Lunatics,Australia,"April 19, 2019",netflix,2019,6.6,3239,TV Show,0,1,0,0,0,0,0,NA,NA
Sweetheart,United States,"December 25, 2019",netflix,2019,5.8,8571,Movie,0,0,0,1,0,1,0,22952896.635549314,53731271.23730022
The Third Party,Philippines,"March 21, 2019",netflix,2016,6.1,280,Movie,0,1,0,0,1,0,0,7694331.190298295,12840267.948482476
24 Hours to Live,South Africa,"April 7, 2018",netflix,2017,5.8,14712,Movie,1,0,0,0,0,1,1,24249352.322067752,69929568.08548714
Russian Doll,United States,"February 1, 2019",netflix,2019,7.8,95031,TV Show,0,1,1,0,0,0,0,NA,NA
Grown Ups,United States,"September 20, 2021",netflix,2010,5.9,252416,Movie,0,1,0,0,0,0,0,80000000,271430189
Black Is Beltza,NA,"March 26, 2021",netflix,2018,5.8,315,Movie,0,0,1,0,0,0,0,17815888.731652126,32377933.05038158
Jal,India,"October 15, 2017",netflix,2013,6.6,487,Movie,0,0,1,0,0,0,0,5108845.501715217,6855231.394234021
Bygones Be Bygones,Turkey,"October 11, 2019",netflix,2017,6.2,4100,Movie,0,1,0,0,0,0,0,9889964.970701922,15822910.511193736
Confusion Na Wa,Nigeria,"June 9, 2021",netflix,2013,7,38,Movie,0,1,1,0,0,0,0,5094516.696937695,10712742.575701104
Locked on You,Turkey,"September 13, 2019",netflix,2018,6.2,4524,Movie,0,1,0,0,0,0,0,9991139.446547037,15878554.129979448
Assimilate,United States,"October 25, 2019",netflix,2019,5.3,6754,Movie,0,0,0,1,0,0,1,7583254.3959317235,14009540.503707707
The Most Hated Woman in America,United States,"March 24, 2017",netflix,2017,6.1,6730,Movie,0,0,1,0,0,0,0,11063245.24888083,14122713.121744081
Fate: The Winx Saga,Italy,"April 14, 2021",netflix,2021,6.8,45644,TV Show,1,0,1,0,0,0,0,NA,NA
We Need to Talk,Spain,"September 1, 2016",netflix,2016,5.8,2139,Movie,0,1,0,0,1,0,0,8507867.484698271,12560076.852456821
Aruna & Her Palate,Indonesia,"January 1, 2020",netflix,2018,7.2,786,Movie,0,0,1,0,1,0,0,6327487.221976169,11490579.11133575
Bad Boys II,United States,"October 1, 2019",netflix,2003,6.6,250872,Movie,1,1,0,0,0,0,0,130000000,273339556
